Course Name,Course code,School,Admission type,Cut off Point,Course duration,Field of study,Certification offered,Website-href
Veterinary Technology,T45,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",3-Oct,3 years,Applied Sciences,This course offers the following tracks or specialisation:,https://www.tp.edu.sg/schools/asc/veterinary-technology
Tourism and Resort Management,N72,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",Sep-17,3 years,Business and Management,This course offers the following tracks or specialisation:,https://www.np.edu.sg/ba/Pages/trm.aspx
Tourism Management with Technology,R64,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",-,3 years,Business and Management,Diploma in Tourism Management with Technology,https://www.rp.edu.sg/full-time-courses/r64
Tamil Studies with Early Education,N95,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE",13-17,3 years,Humanities,Diploma in Tamil Studies with Early Education,https://www.np.edu.sg/hms/Pages/tse.aspx
Sustainable Built Environment,R61,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",15-26,3 years,Built Environment,Diploma in Sustainable Built Environment,https://www.rp.edu.sg/SEG/full-time-diplomas/Details/diploma-in-sustainable-built-environment
Supply Chain Management,R21,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",Nov-25,3 years,Business and Management,Diploma in Supply Chain Management,https://www.rp.edu.sg/SEG/full-time-diplomas/Details/r21
Sport and Wellness Management,C81,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",Jul-15,3 years,Business and Management,Diploma in Sport and Wellness Management,https://www.nyp.edu.sg/schools/sbm/full-time-courses/sports-and-wellness.html
Sport and Exercise Science,R26,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",Jun-16,3 years,Health Sciences,Diploma in Sport and Exercise Science,https://www.rp.edu.sg/shl/full-time-diplomas/details/r26
Sport Coaching,R49,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",Oct-18,3 years,Health Sciences,Diploma in Sport Coaching,https://www.rp.edu.sg/shl/full-time-diplomas/details/r49
Sonic Arts,R24,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",May-19,3 years,Media and Design,Diploma in Sonic Arts,https://www.rp.edu.sg/STA/full-time-diplomas/Details/r24
Social Work,C47,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",4-Dec,3 years,Humanities,Diploma in Social Work,https://www.nyp.edu.sg/schools/shss/full-time-courses/social-work.html
Social Sciences in Gerontology,T53,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",Oct-14,3 years,Humanities,Diploma in Social Sciences in Gerontology,https://www.tp.edu.sg/schools/hss/social-sciences-in-gerontology
Robotics and Mechatronics,C87,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",Sep-18,3 years,Engineering,This course offers the following tracks or specialisation:,https://www.nyp.edu.sg/schools/seg/full-time-courses/robotics-and-mechatronics.html
Restaurant and Culinary Operations,R46,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",Oct-26,3 years,Business and Management,Diploma in Restaurant and Culinary Operations,https://www.rp.edu.sg/soh/full-time-diplomas/details/r46
Real Estate Business,N48,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",Aug-14,3 years,Built Environment,Diploma in Real Estate Business,https://www.np.edu.sg/de/Pages/reb.aspx
Psychology Studies,T48,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",3-Aug,3 years,Humanities,Diploma in Psychology Studies,https://www.tp.edu.sg/schools/hss/psychology-studies
Product Experience and Design,T35,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",Sep-17,3 years,Media and Design,null,https://www.tp.edu.sg/schools-and-courses/students/schools/des/product-experience-and-design.html
Pharmaceutical Science,T25,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",7-Nov,3 years,Applied Sciences,This course offers the following tracks or specialisation:,https://www.tp.edu.sg/schools/asc/pharmaceutical-science
Pharmaceutical Science,R22,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",Sep-17,3 years,Applied Sciences,This course offers the following tracks or specialisation:,https://www.rp.edu.sg/SAS/full-time-diplomas/Details/r22
Pharmaceutical Science,N73,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",4-Sep,3 years,Applied Sciences,Diploma in Pharmaceutical Science,https://www.np.edu.sg/lsct/Pages/pharm.aspx
Pharmaceutical Science,C65,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",5-Sep,3 years,Applied Sciences,Diploma in in Pharmaceutical Science,https://www.nyp.edu.sg/schools/sas/full-time-courses/pharmaceutical-science.html
Perfumery and Cosmetic Science,S38,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",5-Nov,3 years,Applied Sciences,Diploma in Perfumery and Cosmetic Science,https://www.sp.edu.sg/cls/courses/full-time-diplomas/perfumery-cosmetic-science
Outdoor and Adventure Learning,R33,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",18-26,3 years,Business and Management,Diploma in Outdoor and Adventure Learning,https://www.rp.edu.sg/shl/full-time-diplomas/details/r33
Oral Health Therapy,C72,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",5-Nov,3 years,Health Sciences,Diploma in Oral Health Therapy,https://www.nyp.edu.sg/schools/shss/full-time-courses/oral-health-therapy.html
Optometry,S67,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",6-Dec,3 years,Health Sciences,Diploma in Optometry,https://www.sp.edu.sg/cls/courses/full-time-diplomas/optometry
Optometry,N83,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",Jun-13,3 years,Health Sciences,Diploma in Optometry,https://www.np.edu.sg/hs/Pages/opt.aspx
