Course Name,Course code,School,Admission type,Cut off Point,Course duration,Field of study,Certification offered,Website
Accountancy,S75,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",3-12,3 years,Business and Management,Diploma in Accountancy,https://www.sp.edu.sg/sb/courses/full-time-diplomas/DAC
Accountancy,N51,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",4-11,3 years,Business and Management,This course offers the following tracks or specialisation:,https://www.np.edu.sg/ba/Pages/acc.aspx
Accountancy and Finance,T02,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",4-13,3 years,Business and Management,This course offers the following tracks or specialisation:,https://www.tp.edu.sg/schools/bus/accountancy-and-finance
Accountancy and Finance,C98,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",6-12,3 years,Business and Management,Diploma in Accountancy and Finance,https://www.nyp.edu.sg/schools/sbm/full-time-courses/accountancy-and-finance.html
Advanced and Digital Manufacturing,C62,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",10-24,3 years,Engineering,This course offers the following tracks or specialisation:,https://www.nyp.edu.sg/schools/seg/full-time-courses/advanced-and-digital-manufacturing.html
Aeronautical and Aerospace Technology,C51,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",9-16,3 years,Engineering,This course offers the following tracks or specialisation:,https://www.nyp.edu.sg/schools/seg/full-time-courses/aeronautical-and-aerospace-technology.html
Aeronautical Engineering,S88,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",5-17,3 years,Engineering,Diploma in Aeronautical Engineering,https://www.sp.edu.sg/engineering-cluster/mae/courses/full-time-diplomas/aeronautical-engineering-
Aerospace Electronics,T50,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",8-18,3 years,Engineering,This course offers the following tracks or specialisation:,https://www.tp.edu.sg/schools/eng/aerospace-electronics
Aerospace Electronics,S90,Singapore Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",7-13,3 years,Engineering,Diploma in Aerospace Electronics,https://www.sp.edu.sg/engineering-cluster/eee/courses/full-time-diplomas/aerospace-electronics
Aerospace Engineering,T51,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",4-16,3 years,Engineering,This course offers the following tracks or specialisation:,https://www.tp.edu.sg/schools/eng/aerospace-engineering
Aerospace Engineering,R40,Republic Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",17-26,3 years,Engineering,Diploma in Aerospace Engineering,https://www.rp.edu.sg/SEG/full-time-diplomas/Details/r40
Aerospace Engineering,N65,Ngee Ann Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",5-19,3 years,Engineering,This course offers the following tracks or specialisation:,https://www.np.edu.sg/soe/Pages/aeg.aspx
Aerospace Systems and Management,C52,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",15-18,3 years,Engineering,Diploma in Aerospace Systems and Management,https://www.nyp.edu.sg/schools/seg/full-time-courses/aerospace-systems-and-management.html
AI and Data Engineering,C31,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",4-9,3 years,Engineering,Diploma in AI and Data Engineering,https://www.nyp.edu.sg/schools/seg/full-time-courses/ai-and-data-engineering.html
"Animation, Games & Visual Effects",C29,Nanyang Polytechnic,"JAE
                                            , DAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP",-,3 years,Media and Design,This course offers the following tracks or specialisation:,https://www.nyp.edu.sg/schools/sdm/full-time-courses/animation-games-visual-effects.html
Apparel Design and Merchandising,T20,Temasek Polytechnic,"JAE
                                            , JPAE
                                            , Poly EAE
                                            , PFP
                                            , DAE",6-11,3 years,Media and Design,Diploma in Apparel Design and Merchandising,https://www.tp.edu.sg/schools/des/apparel-design-and-merchandising
